0.9781	1222 	1.02
1.3869	8722	0.04
1.6307	12056	0.02
1.8747	15111	0.02
2.1191	17333	0.02
2.3735	19278	0.02
2.6184	20500	0.02
2.8638	20778	0.02
3.1191	20667	0.02
3.3749	19833	0.02
3.6211	18333	0.01
3.8773	16611	0.01
4.1334	15056	0.01
4.3794	14056	0.01
4.6256	12500	0.03
4.8817	10889	0.03
5.1279	9444	0.03
5.384	7944	0.04
5.6303	6333	0.04
5.8962	4833	0.04
6.1224	3944	0.06
6.3783	2944	0.07
6.6341	1889	0.07
6.87	1333	0.08
7.5088	500	1.24
